"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","210","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","Given I am on the home page and I Navigate to the Register page","Given I am on the home page and I Navigate to the Register page",""
"passed","Mon May 30 13:25:32 IST 2022","Mon May 30 13:25:46 IST 2022","13503","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","Given I am on the home page","Given I am on the home page",""
"broken","Wed May 25 14:20:35 IST 2022","Wed May 25 14:20:54 IST 2022","19496","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Fri May 27 18:08:01 IST 2022","Fri May 27 18:08:08 IST 2022","7549","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Mon May 30 11:34:27 IST 2022","Mon May 30 11:34:27 IST 2022","2","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","",""
"passed","Mon May 30 13:25:59 IST 2022","Mon May 30 13:25:59 IST 2022","460","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Register , Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 11:29:36 IST 2022","Mon May 30 11:29:36 IST 2022","3","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","",""
"passed","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","4","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","",""
"passed","Mon May 30 01:22:26 IST 2022","Mon May 30 01:22:34 IST 2022","8119","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Fri Jun 10 14:35:15 IST 2022","Fri Jun 10 14:35:25 IST 2022","10565","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","When I set the value for All mandantory fields","When I set the value for All mandantory fields",""
